Acad Group,Class ID,Subject,Subject Code,Course Nbr,Course Title,Day,Time,Course Size,Seats Available,Regist Code
Architecture & Urban Planning,24106,Architecture,ARCH,801,Collo Ethics Doc Res,T,1-3PM,16,14,ARCH-801
Architecture & Urban Planning,20087,Architecture,ARCH,466,Dimensions,T,7-9PM,29,21,ARCH-466
Architecture & Urban Planning,10040,Architecture,ARCH,552,Arch Design V,T F,1-6PM,12,4,ARCH-552
Architecture & Urban Planning,10050,Architecture,ARCH,672,Arch Design VII,T F,1-6PM,24,24,ARCH-672
Architecture & Urban Planning,10032,Architecture,ARCH,423,Int U P&Env,T TH,10-11AM,25,24,ARCH-423
Architecture & Urban Planning,10010,Architecture,ARCH,202,Graphic Commun,T TH,10-1PM,24,20,ARCH-202
Architecture & Urban Planning,16857,Architecture,ARCH,413,History,T TH,1030-12PM,22,16,ARCH-413
Architecture & Urban Planning,29020,Architecture,ARCH,514,Frame Structures,T TH,1030-12PM,12,12,ARCH-514
Architecture & Urban Planning,22061,Architecture,ARCH,702,Robotic Engagement,T TH,1030-12PM,17,15,ARCH-702
Architecture & Urban Planning,20937,Architecture,ARCH,218,Visual Studies,T TH,1-4PM,16,9,ARCH-218
Architecture & Urban Planning,22060,Architecture,ARCH,703,Virtual Engagement,T TH,9-1030AM,13,4,ARCH-703
Architecture & Urban Planning,10025,Architecture,ARCH,316,Design Fund I,T TH,9-10AM,24,17,ARCH-316
Architecture & Urban Planning,26375,Architecture,ARCH,357,"Arch, Sustainability",T TH,9-10AM,24,21,ARCH-357
Architecture & Urban Planning,25396,Architecture,ARCH,515,Sustainable Systems,TH,10-12PM,17,11,ARCH-515
Architecture & Urban Planning,10027,Architecture,ARCH,317,Construction,TH,1-3PM,18,17,ARCH-317
Architecture & Urban Planning,22716,Architecture,ARCH,417,Construction,TH,1-3PM,23,20,ARCH-417
Architecture & Urban Planning,33278,Architecture,ARCH,503,Spec Topc Arch Hist,TH,1-4PM,28,25,ARCH-503
Architecture & Urban Planning,10049,Architecture,ARCH,660,Thesis Res&Dev Sem,TH,6-9PM,22,18,ARCH-660
Architecture & Urban Planning,29334,Architecture,ARCH,727,Hlth Ind Infrastruct,TH,6-9PM,20,15,ARCH-727
Architecture & Urban Planning,18197,Architecture,ARCH,509,Experimental Course,TH,9-12PM,21,12,ARCH-509
Architecture & Urban Planning,22967,Architecture,ARCH,555,Bld Sy&Ener Consvtn,TH,9-12PM,20,11,ARCH-555
Architecture & Urban Planning,29015,Architecture,ARCH,543,20th Century Arch,W,2-5PM,15,6,ARCH-543
Architecture & Urban Planning,29019,Architecture,ARCH,707,Material Engagement,W,2-5PM,13,4,ARCH-707
Architecture & Urban Planning,29026,Architecture,ARCH,551,Spatial Data Form,W,3-6PM,22,14,ARCH-551
Architecture & Urban Planning,36044,Architecture,ARCH,824,Sem Design Studies,W,3-6PM,13,13,ARCH-824
Architecture & Urban Planning,16824,Architecture,ARCH,516,Arch Representation,W,5-6PM,18,13,ARCH-516
Architecture & Urban Planning,24100,Architecture,ARCH,409,Special Topics Arch,W,6-9PM,17,8,ARCH-409
Architecture & Urban Planning,25413,Architecture,ARCH,537,Fabrication,W,6-9PM,27,18,ARCH-537
Architecture & Urban Planning,28554,Architecture,ARCH,603,Sem Arch History,W,9-12PM,13,12,ARCH-603
Architecture & Urban Planning,29509,Architecture,ARCH,726,Theories in Des Hlth,W,9-12PM,20,19,ARCH-726
Architecture & Urban Planning,36042,Architecture,ARCH,823,Sem Arch Hist&Thry,W,9-12PM,13,5,ARCH-823
Architecture & Urban Planning,32287,Urban and Regional Planning,URP,700,Adv Urban Theory,F,1-4PM,29,29,URP-700
Architecture & Urban Planning,19454,Urban and Regional Planning,URP,586,Conc&Tech Comm,F,9-12PM,21,20,URP-586
Architecture & Urban Planning,29005,Urban and Regional Planning,URP,508,Spat Thnkg & Env Sys,M,6-9PM,27,22,URP-508
Architecture & Urban Planning,10068,Urban and Regional Planning,URP,592,Real Est Ess,M,7-10PM,28,22,URP-592
Architecture & Urban Planning,32285,Urban and Regional Planning,URP,560,Trans&Lnd Pl,M W,1030-12PM,27,21,URP-560
Architecture & Urban Planning,26360,Urban and Regional Planning,URP,581,Hsg Policy&Econ,M W,1030-12PM,18,16,URP-581
Architecture & Urban Planning,24902,Urban and Regional Planning,URP,544,Behavior&Environmt,M W,1-230PM,19,15,URP-544
Architecture & Urban Planning,22742,Urban and Regional Planning,URP,510,Fiscal Planning&Mgt,M W,230-4PM,23,19,URP-510
Architecture & Urban Planning,10067,Urban and Regional Planning,URP,509,Public Economics,M W,4-530PM,25,25,URP-509
Architecture & Urban Planning,19987,Urban and Regional Planning,URP,529,Hist Urban Form,M W,9-1030AM,20,15,URP-529
Architecture & Urban Planning,32691,Urban and Regional Planning,URP,570,Global & Comp Plng,M W,9-1030AM,12,5,URP-570
Architecture & Urban Planning,22743,Urban and Regional Planning,URP,582,Neighborhood Plan,M W,9-1030AM,10,2,URP-582
Architecture & Urban Planning,26364,Urban and Regional Planning,URP,583,"Race,Diff&Social Jus",T,6-9PM,15,8,URP-583
Architecture & Urban Planning,10062,Urban and Regional Planning,URP,423,Int U P&Env,T TH,10-11AM,15,9,URP-423
Architecture & Urban Planning,10066,Urban and Regional Planning,URP,504,Intro to Stats UP,T TH,1030-12PM,19,17,URP-504
Architecture & Urban Planning,32686,Urban and Regional Planning,URP,572,Comp Hsng&Prop Pol,T TH,1030-12PM,11,3,URP-572
Architecture & Urban Planning,25115,Urban and Regional Planning,URP,427,Sustainable Food Sys,T TH,1-230PM,20,17,URP-427
Architecture & Urban Planning,32286,Urban and Regional Planning,URP,522,Collaborative Plng,T TH,1-230PM,20,18,URP-522
Architecture & Urban Planning,25116,Urban and Regional Planning,URP,527,Sustainable Food Sys,T TH,1-230PM,12,10,URP-527
Architecture & Urban Planning,32693,Urban and Regional Planning,URP,542,Env Pln:Iss&Concept,T TH,230-4PM,21,18,URP-542
Architecture & Urban Planning,29043,Urban and Regional Planning,URP,552,Healthy Cities,T TH,230-4PM,22,14,URP-552
Architecture & Urban Planning,16892,Urban and Regional Planning,URP,603,Capstone Studio,T TH,230-530PM,12,8,URP-603
Architecture & Urban Planning,32288,Urban and Regional Planning,URP,526,Scenario Planning,T TH,4-530PM,16,12,URP-526
Architecture & Urban Planning,22719,Urban and Regional Planning,URP,520,Intro to GIS,T TH,4-5PM,13,7,URP-520
Architecture & Urban Planning,26361,Urban and Regional Planning,URP,500,Plng Thry Policy,T TH,9-1030AM,25,18,URP-500
Architecture & Urban Planning,28759,Urban and Regional Planning,URP,501,Plng Thry Design,T TH,9-1030AM,13,13,URP-501
Architecture & Urban Planning,20439,Urban and Regional Planning,URP,551,Phys Plan Workshop,T TH,9-1030AM,22,18,URP-551
Architecture & Urban Planning,26389,Urban and Regional Planning,URP,357,"Arch, Sustainability",T TH,9-10AM,15,15,URP-357
Architecture & Urban Planning,32181,Urban and Regional Planning,URP,587,Plan Org&Com Chg,TH,2-5PM,22,14,URP-587
Architecture & Urban Planning,32700,Urban and Regional Planning,URP,800,Qual Resrch Mthds,TH,6-9PM,13,9,URP-800
Architecture & Urban Planning,28775,Urban and Regional Planning,URP,571,Comp Urban Policy,W,6-9PM,14,9,URP-571
Architecture & Urban Planning,23149,Urban and Regional Planning,URP,610,URP Grad Exper Cse,W,6-9PM,19,12,URP-610
Architecture & Urban Planning,19984,Urban Design,UD,713,Hist of Urban Form,M W,9-1030AM,29,21,UD-713
Architecture & Urban Planning,34892,Urban Design,UD,712,UD Studio I,T F,1-6PM,17,9,UD-712
Architecture & Urban Planning,34893,Urban Design,UD,714,Representation,TH,1-4PM,23,16,UD-714
Education,26532,Education,EDUC,570,Prof Dev Sem in Educ,F,10-12PM,29,22,EDUC-570
Education,21578,Education,EDUC,419,Meth Wrld Lang Minor,F,1030-1230PM,28,24,EDUC-419
Education,10253,Education,EDUC,898,Professionl Dev Sem,F,11-1PM,20,11,EDUC-898
Education,23635,Education,EDUC,490,Topics Professnl Ed,F,1230-3PM,22,19,EDUC-490
Education,18138,Education,EDUC,593,Lang Development,F,1-4PM,24,23,EDUC-593
Education,28802,Education,EDUC,719,Pedagogies of De&I,F,1-4PM,10,4,EDUC-719
Education,28668,Education,EDUC,571,Prof Sem in Tch Edu,F,3-5PM,29,29,EDUC-571
Education,23065,Education,EDUC,425,Intro A2LP I,F,9-12PM,29,24,EDUC-425
Education,20170,Education,EDUC,431,Tchg Soc St Ele Sch,F,9-12PM,15,8,EDUC-431
Education,32252,Education,EDUC,639,Topc Ed Resrch Prac,F,9-12PM,23,23,EDUC-639
Education,10244,Education,EDUC,440,Teaching of English,M,10-1PM,24,16,EDUC-440
Education,17940,Education,EDUC,420,Tchg Wld Lang Sec Sc,M,1-4PM,11,9,EDUC-420
Education,26513,Education,EDUC,503,Media Literacies,M,1-4PM,29,21,EDUC-503
Education,23503,Education,EDUC,622,Higher Ed Proseminar,M,1-4PM,26,22,EDUC-622
Education,24932,Education,EDUC,792,Meth Ed Res:Qual,M,1-4PM,14,7,EDUC-792
Education,30400,Education,EDUC,525,Lang Lrng Home Schl,M,4-7PM,14,11,EDUC-525
Education,21788,Education,EDUC,580,Disability Studies,M,4-7PM,18,10,EDUC-580
Education,23047,Education,EDUC,553,Admin Ldrsh in Schl,M,5-8PM,27,22,EDUC-553
Education,22846,Education,EDUC,695,Res Educ Practice,M,5-8PM,21,15,EDUC-695
Education,25265,Education,EDUC,433,Methods SocSt Minor,M,6-8PM,23,22,EDUC-433
Education,23827,Education,EDUC,414,Managing to Teach,M,830-12PM,28,28,EDUC-414
Education,22651,Education,EDUC,392,Educ Multicult Soc,M,9-12PM,18,11,EDUC-392
Education,18162,Education,EDUC,421,Tch Science Elemsch,M,9-12PM,22,14,EDUC-421
Education,10243,Education,EDUC,432,Tch Sec Soc Studies,M,9-12PM,11,7,EDUC-432
Education,16495,Education,EDUC,690,Ac Aff&Stu Dev PSE,M,9-12PM,16,14,EDUC-690
Education,31022,Education,EDUC,768,Econ of Education,M,9-12PM,26,24,EDUC-768
Education,20169,Education,EDUC,403,Ind Rdg Instr Elem,M F,9-12PM,25,24,EDUC-403
Education,33940,Education,EDUC,652,Directed Tchg Sec,M T W TH F,7-4PM,10,6,EDUC-652
Education,23128,Education,EDUC,443,Exceptionalities K-8,M TH,1-4PM,22,16,EDUC-443
Education,26343,Education,EDUC,712,Causal Infer Ed K-12,M W,10-1120AM,18,9,EDUC-712
Education,18255,Education,EDUC,118,Intr Ed:Sch Mcul Soc,M W,1030-12PM,21,13,EDUC-118
Education,25978,Education,EDUC,212,Hist College Athlet,M W,1130-1PM,10,5,EDUC-212
Education,17258,Education,EDUC,390,Comm Learn in ESL,M W,1-230PM,12,8,EDUC-390
Education,10233,Education,EDUC,317,Observ-Particip Ed,T,1-1AM,22,13,EDUC-317
Education,17636,Education,EDUC,391,Ed Psych-Human Dev,T,1-4PM,17,17,EDUC-391
Education,23828,Education,EDUC,415,Children Sensemakers,T,1-4PM,18,11,EDUC-415
Education,10251,Education,EDUC,665,Foundatn Stu Aff Edu,T,1-4PM,21,21,EDUC-665
Education,30189,Education,EDUC,720,Soc/Per Psy of Educ,T,1-4PM,28,22,EDUC-720
Education,18165,Education,EDUC,793,Intr Quant Meth Res,T,1-4PM,18,16,EDUC-793
Education,30620,Education,EDUC,799,Cat&Ltd Depndt Var,T,1-4PM,18,11,EDUC-799
Education,20577,Education,EDUC,365,Intl Poetry Guild,T,430-630PM,19,16,EDUC-365
Education,33943,Education,EDUC,654,Prob-Prin Sec Ed,T,4-6PM,18,10,EDUC-654
Education,34806,Education,EDUC,412,Math Instr Mid Sch,T,4-7PM,28,24,EDUC-412
Education,10240,Education,EDUC,413,Teach Sec Sch Math,T,4-7PM,25,20,EDUC-413
Education,10242,Education,EDUC,422,Tch Science Sec Sch,T,4-7PM,16,13,EDUC-422
Education,17648,Education,EDUC,427,Elemen School Art,T,4-7PM,27,24,EDUC-427
Education,31021,Education,EDUC,661,Hist of Postsec Educ,T,4-7PM,28,26,EDUC-661
Education,26320,Education,EDUC,649,Found Persp Ed Rfrm,T,5-8PM,12,10,EDUC-649
Education,10249,Education,EDUC,650,Refl Teach Fld Exp,T,830-12PM,17,15,EDUC-650
Education,18161,Education,EDUC,411,Teach Elem Sch Math,T,9-12PM,20,16,EDUC-411
Education,26204,Education,EDUC,591,How We Learn,T,9-12PM,28,21,EDUC-591
Education,18247,Education,EDUC,777,Admin Practicum MA,T,9-12PM,26,23,EDUC-777
Education,26139,Education,EDUC,333,Video Games&Learning,T TH,1030-12PM,23,18,EDUC-333
Education,35059,Education,EDUC,554,Chemistry Education,T TH,12-130PM,28,22,EDUC-554
Education,14692,Education,EDUC,462,Place Out of Time,T TH,1-230PM,18,17,EDUC-462
Education,17627,Education,EDUC,307,Practicum,T TH,8-12PM,29,26,EDUC-307
Education,21213,Education,EDUC,794,Quant Mth Caus Anls,T TH,830-10AM,10,9,EDUC-794
Education,17647,Education,EDUC,401,Devel Rdg Wrtg Elem,TH,1-4PM,15,10,EDUC-401
Education,32280,Education,EDUC,450,"Educ, Peace&Conflict",TH,1-4PM,12,7,EDUC-450
Education,30233,Education,EDUC,775,Res Tchr Ed,TH,1-4PM,25,17,EDUC-775
Education,36771,Education,EDUC,766,CPEP Res Practicum,TH,2-4PM,26,26,EDUC-766
Education,26114,Education,EDUC,524,Inquiry Educ Issues,TH,4-7PM,13,13,EDUC-524
Education,10246,Education,EDUC,561,Intro Higher Educ,TH,4-7PM,10,5,EDUC-561
Education,21565,Education,EDUC,504,Teach with Tech,TH,5-8PM,22,20,EDUC-504
Education,22684,Education,EDUC,402,Rdg Wrtg Content,W,10-1PM,13,10,EDUC-402
Education,21579,Education,EDUC,463,Arab-Israeli Conflic,W,12-1PM,18,16,EDUC-463
Education,18164,Education,EDUC,790,Found of Schlng,W,1-4PM,13,10,EDUC-790
Education,30621,Education,EDUC,863,Inst Res Higher Educ,W,1-4PM,29,27,EDUC-863
Education,28656,Education,EDUC,864,Amer College Stu,W,1-4PM,29,20,EDUC-864
Education,25808,Education,EDUC,873,"Race,Eth&Gend Hi Ed",W,1-4PM,10,4,EDUC-873
Education,20576,Education,EDUC,461,Earth Odysseys,W,2-5PM,24,21,EDUC-461
Education,32201,Education,EDUC,717,Interdisc Prob Solv,W,315-415PM,26,26,EDUC-717
Education,33075,Education,EDUC,260,Tutr Elem Lit & Lang,W,3-5PM,19,17,EDUC-260
Education,10247,Education,EDUC,601,Trfrm Lrng Tchg Tech,W,430-730PM,17,16,EDUC-601
Education,23191,Education,EDUC,547,Current Iss Ed Stds,W,4-7PM,28,22,EDUC-547
Education,24858,Education,EDUC,707,Psychometric Theory,W,4-7PM,29,26,EDUC-707
Education,20016,Education,EDUC,769,Philanthropy & HE,W,4-7PM,22,15,EDUC-769
Education,23061,Education,EDUC,444,Tchg with Tech K-8,W,830-12PM,26,19,EDUC-444
Education,23829,Education,EDUC,416,Teach Curr Material,W,9-12PM,25,24,EDUC-416
Education,28272,Education,EDUC,709,Motiv in the Classrm,W,9-12PM,16,12,EDUC-709
Education,31739,Education,EDUC,711,Res Math Ed,W,9-12PM,10,8,EDUC-711
Education,32647,Education,EDUC,830,Hst&Phl Science Ed,W,9-12PM,25,16,EDUC-830
Engineering,19475,Aerospace Engineering,AEROSP,285,Aero Eng Sem,F,130-3PM,14,9,AEROSP-285
Engineering,31695,Aerospace Engineering,AEROSP,535,Rocket Propulsion,M W,10-1130AM,15,7,AEROSP-535
Engineering,10279,Aerospace Engineering,AEROSP,523,Comp Fluid Dyn I,M W,1130-1PM,26,25,AEROSP-523
Engineering,27982,Aerospace Engineering,AEROSP,584,Nav&Guid Aero Veh,M W,1130-1PM,19,13,AEROSP-584
Engineering,10277,Aerospace Engineering,AEROSP,520,Compressible Flow I,M W,1-230PM,11,8,AEROSP-520
Engineering,20358,Aerospace Engineering,AEROSP,201,Intro Aero,M W,130-3PM,27,18,AEROSP-201
Engineering,21309,Aerospace Engineering,AEROSP,548,Astrodynamics,M W,230-4PM,14,8,AEROSP-548
Engineering,31485,Aerospace Engineering,AEROSP,545,Rotary Wing Vehicles,M W,5-630PM,14,11,AEROSP-545
Engineering,31776,Aerospace Engineering,AEROSP,495,Spec Top Aero Eng,M W,830-10AM,16,12,AEROSP-495
Engineering,10256,Aerospace Engineering,AEROSP,215,Solid Mech&AE Struct,M W F,10-1130AM,14,9,AEROSP-215
Engineering,10270,Aerospace Engineering,AEROSP,315,Aerospace Structure,M W F,10-1130AM,14,14,AEROSP-315
Engineering,10282,Aerospace Engineering,AEROSP,581,Space Pol&Manage,M W F,1230-130PM,20,20,AEROSP-581
Engineering,10280,Aerospace Engineering,AEROSP,550,Linear Systems Thry,M W F,130-230PM,25,22,AEROSP-550
Engineering,10271,Aerospace Engineering,AEROSP,325,Aerodynamics,M W F,130-3PM,23,18,AEROSP-325
Engineering,31693,Aerospace Engineering,AEROSP,526,Hypersonics,M W F,230-330PM,23,19,AEROSP-526
Engineering,10283,Aerospace Engineering,AEROSP,582,Spacecraft Tech,M W F,230-430PM,22,15,AEROSP-582
Engineering,10275,Aerospace Engineering,AEROSP,481,Aircraft Design,M W F,3-5PM,18,13,AEROSP-481
Engineering,10255,Aerospace Engineering,AEROSP,225,Intro Gas Dynamics,M W F,830-10AM,13,8,AEROSP-225
Engineering,10272,Aerospace Engineering,AEROSP,335,Aerospace Propulsn,M W F,830-10AM,23,22,AEROSP-335
Engineering,10278,Aerospace Engineering,AEROSP,522,Viscous Flow,M W F,9-10AM,24,24,AEROSP-522
Engineering,18085,Aerospace Engineering,AEROSP,533,Combustion Processes,T TH,1030-12PM,13,12,AEROSP-533
Engineering,16222,Aerospace Engineering,AEROSP,513,Solid&Struct Mech I,T TH,1130-1PM,21,21,AEROSP-513
Engineering,16737,Aerospace Engineering,AEROSP,540,Intermed Dynamics,T TH,1130-1PM,11,4,AEROSP-540
Engineering,31487,Aerospace Engineering,AEROSP,740,Spec Top Fltdyn Con,T TH,1130-1PM,18,11,AEROSP-740
Engineering,10264,Aerospace Engineering,AEROSP,405,Aero Eng Lab II,T TH,12-130PM,26,23,AEROSP-405
Engineering,22750,Aerospace Engineering,AEROSP,516,Mech Composites,T TH,1-230PM,22,13,AEROSP-516
Engineering,10274,Aerospace Engineering,AEROSP,574,Space Physics,T TH,130-330PM,15,7,AEROSP-574
Engineering,31474,Aerospace Engineering,AEROSP,343,Spacecraft Dynamics,T TH,130-3PM,26,22,AEROSP-343
Engineering,31488,Aerospace Engineering,AEROSP,729,Spec Top Gasdynamic,T TH,130-3PM,15,9,AEROSP-729
Engineering,10257,Aerospace Engineering,AEROSP,305,Aero Eng Lab I,T TH,830-10AM,14,14,AEROSP-305
Engineering,30243,Aerospace Engineering,AEROSP,566,Data Anal Sys ID,T TH,8-930AM,10,5,AEROSP-566
Engineering,22813,Aerospace Engineering,AEROSP,205,Intr Aero Eng Sys,T TH,930-1030AM,24,16,AEROSP-205
Engineering,16351,Aerospace Engineering,AEROSP,585,Aerospace Sem,TH,4-530PM,10,10,AEROSP-585
Engineering,17702,Automotive Engineering Program,AUTO,501,Integ Veh Syst Dsgn,F,12-3PM,17,16,AUTO-501
Engineering,32816,Automotive Engineering Program,AUTO,513,Autobody Structures,M W,1-230PM,21,13,AUTO-513
Engineering,21868,Automotive Engineering Program,AUTO,533,Adv Energy Solutions,T TH,1030-12PM,12,8,AUTO-533
Engineering,10311,Biomedical Engineering,BIOMEDE,550,Ethics&Enterprise,F,1030-12PM,25,18,BIOMEDE-550
Engineering,10303,Biomedical Engineering,BIOMEDE,458,Biomed Instrum Des,M,4-6PM,22,19,BIOMEDE-458
Engineering,14563,Biomedical Engineering,BIOMEDE,410,Biomaterials,M W,10-1130AM,20,11,BIOMEDE-410
Engineering,18109,Biomedical Engineering,BIOMEDE,221,Biophy Chemistry,M W,1130-130PM,14,6,BIOMEDE-221
Engineering,27429,Biomedical Engineering,BIOMEDE,350,Intro BME Design,M W,1130-1PM,20,18,BIOMEDE-350
Engineering,19519,Biomedical Engineering,BIOMEDE,241,BiomedE Ug Lab,M W,130-230PM,27,23,BIOMEDE-241
Engineering,16210,Biomedical Engineering,BIOMEDE,419,Quant Physiology,M W,130-330PM,10,6,BIOMEDE-419
Engineering,10310,Biomedical Engineering,BIOMEDE,519,Quantitative Physiol,M W,130-330PM,18,9,BIOMEDE-519
Engineering,20599,Biomedical Engineering,BIOMEDE,418,Quant Cell Biology,M W,830-10AM,24,20,BIOMEDE-418
Engineering,17698,Biomedical Engineering,BIOMEDE,456,Tissue Mechanics,M W,830-10AM,19,15,BIOMEDE-456
Engineering,23737,Biomedical Engineering,BIOMEDE,523,Business of Biology,M W,830-10AM,26,20,BIOMEDE-523
Engineering,10306,Biomedical Engineering,BIOMEDE,484,RHE Fundamentals,M W F,9-1030AM,22,20,BIOMEDE-484
Engineering,25788,Biomedical Engineering,BIOMEDE,417,Electrical Biophys,T TH,10-12PM,25,16,BIOMEDE-417
Engineering,21966,Biomedical Engineering,BIOMEDE,451,"BME Design, Pt 1",T TH,1230-230PM,24,15,BIOMEDE-451
Engineering,18107,Biomedical Engineering,BIOMEDE,211,Circuits and Systems,T TH,130-330PM,10,6,BIOMEDE-211
Engineering,18239,Biomedical Engineering,BIOMEDE,599,Special Topics,T TH,1-3PM,25,23,BIOMEDE-599
Engineering,26157,Biomedical Engineering,BIOMEDE,424,Engin Acoustics,T TH,230-4PM,26,20,BIOMEDE-424
Engineering,10309,Biomedical Engineering,BIOMEDE,516,Med Imag Sys,T TH,330-5PM,11,8,BIOMEDE-516
Engineering,18108,Biomedical Engineering,BIOMEDE,331,Intro Biofluid Mech,T TH,930-1130AM,13,4,BIOMEDE-331
Engineering,10308,Biomedical Engineering,BIOMEDE,500,Biomed Engr Sem,TH,9-10AM,20,16,BIOMEDE-500
Engineering,29037,Biomedical Engineering,BIOMEDE,499,Special Topics,W,330-530PM,26,25,BIOMEDE-499
Engineering,32383,Biomedical Engineering,BIOMEDE,551,Proteome Inf,W F,10-1130AM,12,11,BIOMEDE-551
Engineering,21969,Chemical Engineering,CHE,485,ChE Process Econ,F,830-1030AM,14,6,CHE-485
Engineering,32139,Chemical Engineering,CHE,696,Selected Topics,M W,10-1130AM,17,9,CHE-696
Engineering,10327,Chemical Engineering,CHE,460,Chem Eng Lab II,M W,1130-1230PM,23,15,CHE-460
Engineering,26084,Chemical Engineering,CHE,554,Comput Methods,M W,1130-1PM,26,19,CHE-554
Engineering,10323,Chemical Engineering,CHE,360,Chem Engr Lab I,M W,1230-130PM,27,22,CHE-360
Engineering,22820,Chemical Engineering,CHE,488,Chem Prod Design I,M W,130-230PM,17,15,CHE-488
Engineering,10322,Chemical Engineering,CHE,343,Separ Processes,M W,130-3PM,19,17,CHE-343
Engineering,21402,Chemical Engineering,CHE,405,Prob Solv&Trbleshoot,M W,130-3PM,19,16,CHE-405
Engineering,22107,Chemical Engineering,CHE,538,Stat&Irrev Thermo,M W,130-3PM,21,21,CHE-538
Engineering,18139,Chemical Engineering,CHE,580,Teaching Engin,M W,130-3PM,28,28,CHE-580
Engineering,26203,Chemical Engineering,CHE,598,Adv Spec Topics,M W,130-3PM,20,17,CHE-598
Engineering,26554,Chemical Engineering,CHE,497,Spec Topic ChE,M W,430-630PM,15,7,CHE-497
Engineering,25144,Chemical Engineering,CHE,590,Sustain Finance,M W,430-6PM,28,27,CHE-590
Engineering,23651,Chemical Engineering,CHE,344,Reaction Engr Des,M W,830-1030AM,17,14,CHE-344
Engineering,10316,Chemical Engineering,CHE,230,Mat&Energy Balances,M W F,1030-1130AM,14,7,CHE-230
Engineering,10331,Chemical Engineering,CHE,487,Proc Sim & Design,M W F,1030-1130AM,29,28,CHE-487
Engineering,16204,Chemical Engineering,CHE,342,Mass&Heat Transfer,M W F,1230-130PM,17,14,CHE-342
Engineering,22106,Chemical Engineering,CHE,505,Math for ChE,M W F,3-430PM,17,13,CHE-505
Engineering,10334,Chemical Engineering,CHE,595,Chem E Res Surv,T TH,1130-1PM,16,13,CHE-595
Engineering,20859,Chemical Engineering,CHE,601,Chem Engr Sem,T TH,130-3PM,11,11,CHE-601
Engineering,21571,Chemical Engineering,CHE,527,Fluid Flow,T TH,830-1030AM,21,16,CHE-527
Engineering,10326,Chemical Engineering,CHE,412,Polymeric Materials,T TH,830-10AM,13,13,CHE-412
Engineering,10330,Chemical Engineering,CHE,466,Proc Dyn & Control,T TH,9-1030AM,25,23,CHE-466
Engineering,32247,Chemical Engineering,CHE,496,Spec Topics in Ch E,TH,430-630PM,20,14,CHE-496
Engineering,16247,Chemical Engineering,CHE,597,Regulatory Issues,TH,430-630PM,15,8,CHE-597
Engineering,32923,Civil And Environmental Engineering,CEE,435,Build Info Modeling,M,5-8PM,19,14,CEE-435
Engineering,10338,Civil And Environmental Engineering,CEE,211,Statics & Dynamics,M T W TH,830-930AM,26,23,CEE-211
Engineering,21984,Civil And Environmental Engineering,CEE,624,Restoration Concepts,M W,1030-1130AM,17,11,CEE-624
Engineering,32308,Civil And Environmental Engineering,CEE,531,Constr Cost Engring,M W,1030-12PM,28,24,CEE-531
Engineering,32058,Civil And Environmental Engineering,CEE,553,Infrastruc Sys Opt,M W,1030-12PM,17,16,CEE-553
